,/ang_vel,/position
1028,-0.53,
1029,-3.04,
1030,-2.9,
1031,-3.93,
1032,-5.97,
1033,-8.7,
1034,-7.36,
1035,-8.14,
1036,-8.41,
1037,-8.02,
1038,-8.11,
1039,-6.89,
1040,-6.36,
1041,-6.78,
1042,-6.08,
1043,-5.96,
1044,-5.76,
1045,-5.27,
1046,-5.14,
1047,-4.48,
1048,-4.34,
1049,-3.83,
1050,-3.76,
1051,-3.53,
1052,-3.11,
1053,-2.9,
1054,-2.79,
1055,-2.15,
1056,-2.08,
1057,-1.89,
1058,-1.39,
1059,-1.17,
1060,-0.95,
1061,-0.37,
1062,-0.36,
1063,-0.07,
1064,0.29,
1065,0.51,
1066,0.94,
1067,0.92,
1068,0.93,
1069,0.96,
1070,0.24,
1071,-0.08,
1072,-0.55,
1073,-1.47,
1074,-2.11,
1075,-2.69,
1076,-3.53,
1077,-3.73,
1078,-9.7,
1079,-9.23,
1080,-4.5,
1081,-10.93,
1082,-12.66,
1083,-7.12,
1084,-9.85,
1085,-10.69,
1086,-5.44,
1087,-8.63,
1088,-8.46,
1089,-6.56,
1090,-9.66,
1091,-8.67,
1092,-9.53,
1093,-9.85,
1094,-9.41,
1095,-10.05,
1096,-9.77,
1097,-10.13,
1098,-10.39,
1099,-10.4,
1100,-10.68,
1101,-10.94,
1102,-10.98,
1103,-11.53,
1104,-9.47,
1105,-4.47,
1106,-0.47,
1107,,0.0
1108,,0.0
1109,,0.0
1110,,0.0
1111,,0.0
1112,,0.00045553093477052005
1113,,0.00148047553800419
1114,,0.00307483380970101
1115,,0.005010840282475721
1116,,0.007288494956328321
1117,,0.009680032363873551
1118,,0.011957687037726152
1119,,0.014463107178964011
1120,,0.016854644586509242
1121,,0.01913229926036184
1122,,0.02129607120052181
1123,,0.023459843140681783
1124,,0.025395849613456492
1125,,0.026990207885153314
1126,,0.028242917955772242
1127,,0.029153979825313283
1128,,0.02972339349377643
1129,,0.02972339349377643
1130,,0.029495628026391173
1131,,0.028812331624235396
1132,,0.027901269754694355
1133,,0.026990207885153314
1134,,0.025851380548227013
1135,,0.024370905010222824
1136,,0.022776546738526006
1137,,0.02106830573313655
1138,,0.01901841652666921
